Lake Name,Area (km^2),Latitude,Longitude,Start Date,End Date,Tile,# of Days,Trophic Status
Balaton,38,46.717,17.245,2008-06-13,2008-10-11,h19 v04,,
Kentucky,970,36.739,-88.109,2008-01-01,2008-12-30,h10 v05,,
Pontchartrain,1603,30.316,-90.283,2008-03-21,2008-12-31,h10 v05,,
Rotorua,79.8,-38.066,176.266,2007-07-13,2008-07-12,h31 v12,,
Sunapee,16.7,43.383,-72.033,2008-05-01,2008-10-30,H12 V04,,
Taihu,2338,31.287,120.202,2007-10-09,2008-10-30,h28 V05,,
Feeagh,4,53.948,-9.575,2006-01-01,2006-12-30,h17v03,,
Muggelsee,7.46,52.438,13.648,2008-03-11,2008-12-07,h18v03,,
Mendota,39.4,43.099,-89.652,2008-07-10,2008-11-03,h11v04,,
Rotoiti,34.6,-38.039,176.428,2008-07-25,2009-07-23,h31v12,,
Trout,16.1,46.029,-89.665,2008-05-30,2008-11-10,h11v04,,
